epoch,temp_tenths_c,battery_pct,pss_kb,rss_kb,worker_pid,fgs_active
1784552573,304,100,397854,524052,12465,1
1784552583,304,100,393279,519472,12465,1
1784552593,304,100,393480,519700,12465,1
1784552604,304,100,393069,519292,12465,1
1784552614,321,100,421295,547604,12465,1
1784552624,321,100,393129,519396,12465,1
1784552635,330,100,393327,519596,12465,1
1784552645,330,100,393124,519412,12465,1
1784552656,330,100,393237,519508,12465,1
1784552666,330,100,392849,519120,12465,1
1784552676,338,100,433593,559828,12465,1
1784552687,338,100,460393,586628,12465,1
1784552697,343,100,431898,558088,12465,1
1784552708,343,100,431486,557676,12465,1
1784552718,343,100,429353,538376,12465,1
1784552729,349,100,429693,543232,12465,1
1784552739,349,100,455997,564556,12465,1
1784552749,349,100,427897,536640,12465,1
1784552760,353,100,428201,536668,12465,1
1784552770,353,100,428133,536600,12465,1
1784552781,353,100,428603,536628,12465,1
1784552791,360,100,428615,536964,12465,1
1784552802,360,100,456764,565752,12465,1
1784552812,360,100,428354,537344,12465,1
1784552822,362,100,428672,537548,12465,1
1784552833,362,100,428680,537556,12465,1
1784552843,362,100,428667,537544,12465,1
1784552853,365,100,477580,586456,12465,1
1784552864,365,100,428715,537592,12465,1
1784552874,365,100,428719,537596,12465,1
1784552885,369,100,428276,537152,12465,1
1784552895,369,100,428679,537556,12465,1
1784552906,369,100,428687,537564,12465,1
1784552916,371,100,432829,541708,12465,1
1784552926,371,100,457251,566548,12465,1
1784552937,371,100,429103,538784,12465,1
1784552947,374,100,429073,538760,12465,1
1784552958,374,100,429046,538736,12465,1
1784552968,374,100,429067,538760,12465,1
1784552979,374,100,428863,538556,12465,1
1784552989,374,100,428855,538548,12465,1
1784552999,374,100,456203,565896,12465,1
1784553010,375,100,428210,537968,12465,1
1784553020,375,100,427957,537720,12465,1
1784553031,376,100,427993,537756,12465,1
1784553041,376,100,427760,537524,12465,1
1784553051,376,100,427968,537732,12465,1
1784553062,376,100,455956,565752,12465,1
1784553072,379,100,428204,538000,12465,1
1784553083,379,100,427992,537788,12465,1
1784553093,379,100,428196,537992,12465,1
1784553103,379,100,428192,537988,12465,1
1784553114,379,100,427972,537768,12465,1
1784553124,379,100,456362,566164,12465,1
1784553135,382,100,427989,537792,12465,1
1784553145,382,100,428401,538204,12465,1
1784553156,381,100,428189,537992,12465,1
1784553166,381,100,,,,
